n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,seed,fold,timing,population,arm,model,selected_c,validation_auroc
83.0,24.0,59.0,0.5918079096045198,0.4198348442538879,0.2226747433276295,0.9453912665643488,0.1526121381671623,2026,2,T0_T3,ftv_complete_375,C0,C_PLUS_M,0.01,0.7714285714285714
83.0,24.0,59.0,0.7274011299435028,0.5282304987129173,0.1779313721863317,1.3179520978323638,0.0649693525510031,2026,2,T0_T3,ftv_complete_375,C0,F,1.0,0.6974789915966386
83.0,24.0,59.0,0.7351694915254237,0.559182139105535,0.173734156679351,1.0399223023047728,0.0875936444706219,2026,2,T0_T3,ftv_complete_375,C0,C_PLUS_F,0.1,0.7915966386554621
83.0,24.0,59.0,0.6546610169491526,0.4868367288262704,0.2317492798568414,0.2998283302644123,0.2193922335754647,2026,2,T0_T3,ftv_complete_375,C0,C_PLUS_F_PLUS_M,1.0,0.8016806722689076
72.0,23.0,49.0,0.7519964507542147,0.5926420714482201,0.2076671466117949,3.2380799603455106,0.1245506129166131,2026,3,T0,ftv_complete_375,C0,C,0.01,0.674390243902439
72.0,23.0,49.0,0.7320319432120673,0.5502947271584094,0.2421501287166686,18.405672946506243,0.1815156344355463,2026,3,T0,ftv_complete_375,C0,C_PLUS_M,0.001,0.6682926829268293
72.0,23.0,49.0,0.4720496894409938,0.322390649001701,0.2455984973373019,0.0376808514151841,0.1678754546662773,2026,3,T0,ftv_complete_375,C0,F,0.001,0.5634146341463415
72.0,23.0,49.0,0.7568766637089619,0.6082652916841986,0.2078164651636048,3.2276196194858358,0.1526509673387417,2026,3,T0,ftv_complete_375,C0,C_PLUS_F,0.01,0.6817073170731708
72.0,23.0,49.0,0.7311446317657497,0.5585007547675955,0.2421794248096204,18.10105229312657,0.1814279051661802,2026,3,T0,ftv_complete_375,C0,C_PLUS_F_PLUS_M,0.001,0.675609756097561
72.0,23.0,49.0,0.7519964507542147,0.5926420714482201,0.2076671466117949,3.2380799603455106,0.1245506129166131,2026,3,T0_T1,ftv_complete_375,C0,C,0.01,0.674390243902439
72.0,23.0,49.0,0.7613132209405501,0.643028157933616,0.2411618044385927,20.30530008555661,0.2085939357203031,2026,3,T0_T1,ftv_complete_375,C0,C_PLUS_M,0.001,0.7170731707317073
72.0,23.0,49.0,0.5226264418811002,0.3411670688755339,0.2271681403651834,1.370032335915431,0.1037326713831886,2026,3,T0_T1,ftv_complete_375,C0,F,0.01,0.7951219512195121
72.0,23.0,49.0,0.7453416149068323,0.6262364940817735,0.1826854873681874,1.1110814695621007,0.0790016430479682,2026,3,T0_T1,ftv_complete_375,C0,C_PLUS_F,0.1,0.7426829268292683
72.0,23.0,49.0,0.7435669920141971,0.6168608279569558,0.2413342953576347,16.423731033144655,0.2354515607965637,2026,3,T0_T1,ftv_complete_375,C0,C_PLUS_F_PLUS_M,0.001,0.7451219512195122
72.0,23.0,49.0,0.7519964507542147,0.5926420714482201,0.2076671466117949,3.2380799603455106,0.1245506129166131,2026,3,T0_T2,ftv_complete_375,C0,C,0.01,0.674390243902439
72.0,23.0,49.0,0.7497781721384205,0.5731764719008516,0.2413050043174366,19.327472005197897,0.2085486055445743,2026,3,T0_T2,ftv_complete_375,C0,C_PLUS_M,0.001,0.6804878048780488
72.0,23.0,49.0,0.6681455190771961,0.4678015117525984,0.2043035392252592,1.3238843204864683,0.0719257306747421,2026,3,T0_T2,ftv_complete_375,C0,F,0.1,0.8597560975609756
72.0,23.0,49.0,0.7861579414374446,0.6827472421869503,0.1718609397965114,1.2466751287103968,0.0455666666868697,2026,3,T0_T2,ftv_complete_375,C0,C_PLUS_F,0.1,0.776829268292683
72.0,23.0,49.0,0.782608695652174,0.6406310434288671,0.1741751541833322,0.8047022777721318,0.1604359106243973,2026,3,T0_T2,ftv_complete_375,C0,C_PLUS_F_PLUS_M,1.0,0.7621951219512194
72.0,23.0,49.0,0.7519964507542147,0.5926420714482201,0.2076671466117949,3.2380799603455106,0.1245506129166131,2026,3,T0_T3,ftv_complete_375,C0,C,0.01,0.674390243902439
