model,task,target,timepoint,transition,representation,metric,estimate,ci_low,ci_high,bootstrap_replicates,finite_replicates,bootstrap_unit
G1,change,ld,,T0→T1,response_state,r2,-0.0019222161356018397,-0.037744683363914094,0.016845125329871806,2000,2000,patient_within_outer_fold
G1,change,ld,,T0→T1,response_state,mae,0.29086271067664266,0.2421587951682209,0.345285314118033,2000,2000,patient_within_outer_fold
G1,change,ld,,T0→T1,response_state,rmse,0.5807097716842848,0.3898158439610953,0.755713483819514,2000,2000,patient_within_outer_fold
G1,change,ld,,T0→T1,response_state,prediction_target_variance_ratio,0.025640194251038344,0.014335034886008482,0.05910374929113406,2000,2000,patient_within_outer_fold
G1,change,ld,,T0→T1,response_state,rmse_gain_over_b0,0.002668201561771116,-0.009383722499982292,0.013831938582955481,2000,2000,patient_within_outer_fold
G1,change,ld,,T1→T2,response_state,spearman,0.034609958867565974,-0.0656794528409833,0.137116531636587,2000,2000,patient_within_outer_fold
G1,change,ld,,T1→T2,response_state,pearson,0.04731318132701575,-0.046037832900941676,0.13941698124178442,2000,2000,patient_within_outer_fold
G1,change,ld,,T1→T2,response_state,r2,-0.013128847379378694,-0.04951249142026998,0.015419808418629216,2000,2000,patient_within_outer_fold
G1,change,ld,,T1→T2,response_state,mae,0.9635220359288957,0.8684438668027596,1.0595647884054362,2000,2000,patient_within_outer_fold
G1,change,ld,,T1→T2,response_state,rmse,1.3542330305252035,1.2184301260955086,1.4843805668387842,2000,2000,patient_within_outer_fold
G1,change,ld,,T1→T2,response_state,prediction_target_variance_ratio,0.028304504744014018,0.021821477370313296,0.03732909896319958,2000,2000,patient_within_outer_fold
G1,change,ld,,T1→T2,response_state,rmse_gain_over_b0,-0.0020825335315414017,-0.016453217933488817,0.01253616097778211,2000,2000,patient_within_outer_fold
G1,change,ld,,T2→T3,response_state,spearman,0.18614042708198178,0.08572011705302772,0.2852410604267455,2000,2000,patient_within_outer_fold
G1,change,ld,,T2→T3,response_state,pearson,0.07773525637081018,-0.04031638363265115,0.19259117724379304,2000,2000,patient_within_outer_fold
G1,change,ld,,T2→T3,response_state,r2,-0.0027709786928939995,-0.04904296041995207,0.03360325169824896,2000,2000,patient_within_outer_fold
G1,change,ld,,T2→T3,response_state,mae,0.9936133961775113,0.9108343317961038,1.084673413578068,2000,2000,patient_within_outer_fold
G1,change,ld,,T2→T3,response_state,rmse,1.3298772790024835,1.2151041266740055,1.4449270898307705,2000,2000,patient_within_outer_fold
G1,change,ld,,T2→T3,response_state,prediction_target_variance_ratio,0.029255289329019205,0.02224612952030043,0.03813284308597142,2000,2000,patient_within_outer_fold
G1,change,ld,,T2→T3,response_state,rmse_gain_over_b0,-0.0010552972073361398,-0.021403255272512457,0.01831761340642718,2000,2000,patient_within_outer_fold
G1,change,sphericity,,T0→T1,response_state,spearman,0.0061253840027306865,-0.09252778068124716,0.10731498684770065,2000,2000,patient_within_outer_fold
G1,change,sphericity,,T0→T1,response_state,pearson,0.009388124763794,-0.06950285617217715,0.09895080613273605,2000,2000,patient_within_outer_fold
G1,change,sphericity,,T0→T1,response_state,r2,-0.08364534460785666,-0.1393948970233564,-0.03376650665942925,2000,2000,patient_within_outer_fold
G1,change,sphericity,,T0→T1,response_state,mae,0.0544493027545768,0.04952624522663826,0.05955892251987097,2000,2000,patient_within_outer_fold
G1,change,sphericity,,T0→T1,response_state,rmse,0.07306946883535233,0.0666001604162394,0.07970396431481426,2000,2000,patient_within_outer_fold
G1,change,sphericity,,T0→T1,response_state,prediction_target_variance_ratio,0.08633787855216918,0.06696846057362948,0.11179125727704914,2000,2000,patient_within_outer_fold
G1,change,sphericity,,T0→T1,response_state,rmse_gain_over_b0,-0.030462397677217253,-0.05360781432254923,-0.0058553363612658515,2000,2000,patient_within_outer_fold
