model,task,target,timepoint,transition,representation,n,n_patients,n_folds,spearman,pearson,r2,mae,rmse,b0_rmse,rmse_gain_over_b0,target_variance,prediction_variance,prediction_target_variance_ratio
G4,change,ld,,T0→T1,response_state,375,375,5,0.0884656045471665,0.051452784920331486,-0.027160066820361317,0.3032244700652443,0.5879781591213527,0.5822633677113744,-0.009814787820914425,0.33747680359088883,0.016847628918256866,0.049922331665439884
G4,change,ld,,T1→T2,response_state,375,375,5,0.217060352779191,0.2074192587296055,0.038281906635001306,0.9525731155818685,1.3194257481678258,1.351418655859226,0.02367357262140157,1.8150215617650214,0.13653571843086063,0.07522539748678587
G4,change,ld,,T2→T3,response_state,375,375,5,0.1598702617067677,0.11976266051325334,0.011060358204157184,0.9915525171502382,1.3206738567410679,1.328475342683335,0.00587251090901629,1.7684021788052813,0.053809835716625634,0.030428505665481106
G4,change,sphericity,,T0→T1,response_state,375,375,5,-0.006106496757310275,-0.04381645178160532,-0.057999141047781366,0.0519901900890668,0.0721996385026786,0.07090939853803443,-0.01819561287002186,0.004940198467491306,0.0001980693385752296,0.040093397032247506
G4,change,sphericity,,T1→T2,response_state,375,375,5,0.08512891113892365,0.02446025758565975,-0.031065054572180673,0.07581865928702235,0.10825291196720509,0.10717154951027219,-0.010090014205022296,0.011396008720189683,0.0004668090519027331,0.04096250392259819
G4,change,sphericity,,T2→T3,response_state,375,375,5,0.04604528387757424,0.006256405964760072,-0.03441402101076796,0.08897391135503938,0.12950306864207548,0.1276291601039124,-0.01468244824801314,0.016256437762729836,0.0005984747509411432,0.03681463058981043
G4,static,ftv,T0,,response_state,375,375,5,0.7415585390829447,0.5299830593161562,0.18610308580702706,16.463445100183915,38.49249096919973,44.60035130440287,0.13694646245085035,1825.333804041963,1242.9864561095642,0.6809639164941411
G4,static,ftv,T1,,response_state,375,375,5,0.6621986574126749,0.4498284456844782,0.12005941152056465,11.617269029066154,35.34506437111221,39.040935299528144,0.09466655703969788,1423.5209688874065,87.43690491242165,0.061422983449805076
G4,static,ftv,T2,,response_state,375,375,5,0.5342560018204574,0.11745851220192953,-0.023634309163604428,7.584193452440554,31.46834208457572,31.89590142522411,0.013404836406669632,969.9795028937233,37.96922614350744,0.03914435926762833
G4,static,ftv,T3,,response_state,375,375,5,0.48002084878944495,0.48895524428627246,0.17510065131818653,2.986092403917729,11.269998038938155,12.7102476994274,0.11331405135040198,154.38545631958928,13.281757252728772,0.08602984743092999
G4,static,ld,T0,,response_state,375,375,5,0.3842378837768846,0.39452935594026955,0.13060708412473887,1.411089726551333,2.00610662603067,2.1969467589818237,0.0868660709099745,4.641427736185383,0.6566107085145145,0.14146739879099324
G4,static,ld,T1,,response_state,375,375,5,0.25768879806539213,0.16365361475712886,-0.06573095453179745,1.4200426486727387,2.1214909927045067,2.140487048495622,0.008874641780461186,4.234425240641712,0.3876198862650684,0.09154014163356111
G4,static,ld,T2,,response_state,375,375,5,0.36427931538550196,0.31431912712604004,-0.08664337661964683,1.5157199361047466,2.2263811973954675,2.4119305880851725,0.0769298219469128,4.573742174688057,1.0175822230553668,0.22248351222918877
G4,static,ld,T3,,response_state,375,375,5,0.3299828105562634,0.27367889075445095,-0.17513047737028486,1.3235197912732757,1.9303234388545238,2.0507854155826677,0.05873943505391971,3.179316352228164,0.27706282225182777,0.08714540849565143
G4,static,sphericity,T0,,response_state,375,375,5,0.649365798156787,0.5724182983131192,0.3248327195661015,0.058415993882450105,0.07747109872914193,0.09462372746632344,0.18127196208040028,0.00891307803133714,0.0026530541049518265,0.29765857491924314
G4,static,sphericity,T1,,response_state,375,375,5,0.4528264876550233,0.3997630727879225,0.13010245526312836,0.06538196619262998,0.08521112550772342,0.09147100650659057,0.06843568511970097,0.008369204191322312,0.0027027517597803218,0.3229401144953179
G4,static,sphericity,T2,,response_state,375,375,5,0.32170076231653205,0.2535136169792254,0.054407263330058964,0.0873900763165676,0.11808173903398661,0.12208066269256974,0.03275640523555679,0.014784989450696916,0.001791786468196006,0.12118956690304213
G4,static,sphericity,T3,,response_state,375,375,5,0.318181135510297,0.3051417629800305,0.08028142436818775,0.1052549044621685,0.1355557108557198,0.14161215403104124,0.04276782043717717,0.02003273956580448,0.0030978250524478133,0.1546381133879334
