model,task,target,timepoint,transition,representation,fold,n,n_patients,n_folds,spearman,pearson,r2,mae,rmse,b0_rmse,rmse_gain_over_b0,target_variance,prediction_variance,prediction_target_variance_ratio
G4,static,ftv,T1,,response_state,2,83,83,1,0.6535200033583811,0.49859844022024313,0.07785073625606964,17.545978110767877,48.3063698794379,53.08702422778185,0.09005316116103014,2561.3670653618387,94.06415510625666,0.03672419950202195
G4,static,ftv,T2,,response_state,2,83,83,1,0.7092691322782418,0.21780054655887252,-0.056495613283347845,13.851135897472728,48.281609538291285,48.971605967989944,0.014089724362923129,2233.366620034884,5.3627020902413145,0.002401174102869663
G4,static,ftv,T3,,response_state,2,83,83,1,0.5242643046051803,0.7581144412554386,0.014900449100490043,5.834791888214623,21.018111360228573,21.92283072852445,0.04126836445070564,453.9118245194413,1.2355931959265294,0.002722099599927052
G4,static,ld,T0,,response_state,2,83,83,1,0.4671925545568,0.507616518788588,0.17720834486757875,1.344277831345667,1.9265826656940197,2.219742300442864,0.13206922023802295,4.566144578313253,0.9534448768092806,0.20880742176619513
G4,static,ld,T1,,response_state,2,83,83,1,0.2203123182991291,0.15345178578749485,-0.1688122074532421,1.4931116694212583,2.2638777079393533,2.3004341817351612,0.01589111920091289,4.438389656185719,0.2259330721057366,0.05090428953006795
G4,static,ld,T2,,response_state,2,83,83,1,0.47510680275120987,0.32932160419876244,-0.014996491236126896,1.6327615411442127,2.67451334841408,2.9173502943926564,0.0832388713982429,7.133279459300618,0.965826692779454,0.13539728792206165
G4,static,ld,T3,,response_state,2,83,83,1,0.3121817333129765,0.26016736428590137,-0.13918956660113935,1.43385159390211,2.0736875768330916,2.224568865785433,0.06782495757849658,3.820805171907141,0.695063515823619,0.18191545618032143
G4,static,sphericity,T0,,response_state,2,83,83,1,0.5961546534570337,0.5476909649889629,0.2918380111894934,0.051585909874689743,0.06349164730715025,0.07547010818517934,0.15871795027294522,0.005761888080833325,0.0018319392149158146,0.3179407842039977
G4,static,sphericity,T1,,response_state,2,83,83,1,0.5504596784349942,0.5389051770821136,0.26563149260659413,0.0531223061327173,0.0673287557686955,0.07906346411906039,0.14842137871284997,0.00624814893707224,0.0018354450259639057,0.29375820654236184
G4,static,sphericity,T2,,response_state,2,83,83,1,0.48560094034675283,0.3751673994658044,0.1313050884772866,0.0798356598281785,0.11834643649139846,0.12698440374655587,0.06802384387611607,0.016319518216320772,0.003435063919030484,0.21048807161446445
