population,seed,arm,timing,model,clinical_contract,fold,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL0,T2,C+M,C2_full_with_treatment,3,72,23,49,0.6663708961845608,0.5720962673163945,0.6193433895297249,0.2146605023969133
ftv_complete_375,2026,LOCAL0,T2,C+M,C2_full_with_treatment,4,84,23,61,0.6678545972915181,0.4944189024046479,0.6104775481111903,0.21688364468689184
ftv_complete_375,2026,LOCAL0,T2,C+M_error_correction,C2_full_with_treatment,0,69,20,49,0.48673469387755103,0.2791528203474115,0.4479591836734694,0.25452451850423957
ftv_complete_375,2026,LOCAL0,T2,C+M_error_correction,C2_full_with_treatment,1,67,20,47,0.5819148936170213,0.4245971395735875,0.55,0.20562668967193276
ftv_complete_375,2026,LOCAL0,T2,C+M_error_correction,C2_full_with_treatment,2,83,24,59,0.5042372881355932,0.30131338891559895,0.4830508474576271,0.2173999732537447
ftv_complete_375,2026,LOCAL0,T2,C+M_error_correction,C2_full_with_treatment,3,72,23,49,0.6122448979591837,0.451916686550885,0.5,0.2133020719889941
ftv_complete_375,2026,LOCAL0,T2,C+M_error_correction,C2_full_with_treatment,4,84,23,61,0.5987170349251603,0.3982071802351792,0.5324305060584462,0.19790392840003643
ftv_complete_375,2026,LOCAL0,T2,F,C2_full_with_treatment,0,69,20,49,0.6744897959183673,0.43519208822256217,0.5193877551020408,0.19280047426905236
ftv_complete_375,2026,LOCAL0,T2,F,C2_full_with_treatment,1,67,20,47,0.7563829787234043,0.5458804328279717,0.5537234042553192,0.17900254597009138
ftv_complete_375,2026,LOCAL0,T2,F,C2_full_with_treatment,2,83,24,59,0.7309322033898304,0.5016259667368882,0.5540254237288136,0.17935930517760085
ftv_complete_375,2026,LOCAL0,T2,F,C2_full_with_treatment,3,72,23,49,0.6681455190771961,0.46780151175259843,0.5013309671694764,0.20430353922525918
ftv_complete_375,2026,LOCAL0,T2,F,C2_full_with_treatment,4,84,23,61,0.7191732002851033,0.5548040067636433,0.5352815395580898,0.21241821472074177
ftv_complete_375,2026,LOCAL0,T2,M,C2_full_with_treatment,0,69,20,49,0.4846938775510204,0.2773030406347889,0.48214285714285715,0.2886210270870646
ftv_complete_375,2026,LOCAL0,T2,M,C2_full_with_treatment,1,67,20,47,0.5765957446808511,0.4458903406008243,0.5510638297872341,0.22977150934894963
