seed_base,fold,task,endpoint,target_semantics,metric,L3_minus_L1,N3_minus_N1,N1_minus_L1,difference_in_differences
3026,0,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.06720691914552163,0.4101901159589515,-0.38792133532883066,0.34298319681342987
3026,0,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.11390725579710231,0.3685195840022006,-0.1811756748975386,0.25461232820509827
3026,1,delta,T0→T1,literal_ftv_end_minus_ftv_start,pearson,0.02359469687466642,-0.0015280497294702933,-0.2710887061197701,-0.025122746604136714
3026,1,delta,T1→T2,literal_ftv_end_minus_ftv_start,pearson,0.1375941577868675,-0.003037128298712194,-0.15913383123348288,-0.1406312860855797
3026,1,delta,T2→T3,literal_ftv_end_minus_ftv_start,pearson,0.13324421820821397,0.003887438718925079,-0.5549269550261865,-0.1293567794892889
3026,1,delta,macro,literal_ftv_end_minus_ftv_start,pearson,0.09814435762324919,-0.0002259131030858015,-0.3283831641264799,-0.09837027072633499
3026,1,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.01270273652163123,0.02596916171472652,-0.522351563607216,0.013266425193095288
3026,1,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,-0.000575705903948176,0.008557345598741911,-0.3190357641954315,0.009133051502690087
3026,1,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.10943288434705478,0.0706704061746153,-0.5852541978181686,-0.03876247817243948
3026,1,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.0879895135602987,-0.050497529727114396,0.0407660704136381,-0.1384870432874131
3026,1,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.05238735713125919,0.013674845940242292,-0.3464688638017945,-0.0387125111910169
3026,2,delta,T0→T1,literal_ftv_end_minus_ftv_start,pearson,0.1984760890428427,0.008331701949259702,-0.1256153896448603,-0.190144387093583
3026,2,delta,T1→T2,literal_ftv_end_minus_ftv_start,pearson,0.06521509510474449,0.04499051690296324,0.4712220434845424,-0.02022457820178125
3026,2,delta,T2→T3,literal_ftv_end_minus_ftv_start,pearson,-0.029434755514829998,-0.01405001519193351,-0.021838995130483194,0.015384740322896488
3026,2,delta,macro,literal_ftv_end_minus_ftv_start,pearson,0.0780854762109191,0.013090734553429795,0.1079225529030663,-0.06499474165748931
3026,2,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.03146623511928909,0.028657105737038724,0.09365081594577018,-0.002809129382250364
3026,2,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.07698178951763429,0.07932654352096574,0.1839293124154025,0.0023447540033314507
3026,2,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.023851906290482006,0.04947420446159881,-0.0376005864492287,0.025622298171116803
3026,2,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.05264970280206249,-0.05539862228301273,-0.26059865305986896,-0.10804832508507523
3026,2,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.0462374084323669,0.025514807859147615,-0.005154777786981313,-0.020722600573219285
3026,3,delta,T0→T1,literal_ftv_end_minus_ftv_start,pearson,-0.06837948828810331,-0.023318209902534408,-0.1342553209884355,0.0450612783855689
3026,3,delta,T1→T2,literal_ftv_end_minus_ftv_start,pearson,0.1401919492039227,-0.08906642633841211,0.06599103906529613,-0.2292583755423348
3026,3,delta,T2→T3,literal_ftv_end_minus_ftv_start,pearson,0.16869403032440267,-0.0714913537046782,-0.33810388262526453,-0.24018538402908085
3026,3,delta,macro,literal_ftv_end_minus_ftv_start,pearson,0.08016883041340722,-0.06129199664854158,-0.135456054849468,-0.1414608270619488
3026,3,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.015357889176340733,-0.05905117309821151,-0.05035272118958917,-0.07440906227455224
3026,3,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.07136288467640384,0.08499116707363519,-0.3282616987852413,0.01362828239723135
3026,3,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.07561740211077783,0.0640467296830928,-0.6118507382469127,-0.01157067242768503
3026,3,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.04374973216975686,0.03382263393592411,-0.39992174727117114,-0.009927098233832754
3026,3,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.05152197703331984,0.030952339398610196,-0.34759672637322864,-0.020569637634709648
3026,4,delta,T0→T1,literal_ftv_end_minus_ftv_start,pearson,-0.09591807390786827,0.0458258416007321,-0.4015509987940509,0.14174391550860038
