arm,seed_base,fold,state,dimension,variance,std,pcr_labels_used
F2,2026,2,z_P,27,0.007757233818640539,0.08807516005458371,False
F2,2026,2,z_P,28,0.00682868104875569,0.08263583392666701,False
F2,2026,2,z_P,29,0.01902715629485516,0.1379389585826106,False
F2,2026,2,z_P,30,0.019204970209096523,0.13858199814224256,False
F2,2026,2,z_P,31,0.01809043988026205,0.13450070587272786,False
F2,2026,2,z_P,32,0.043837996060682664,0.20937525178655347,False
F2,2026,2,z_P,33,0.007508322519140378,0.08665057714256945,False
F2,2026,2,z_P,34,0.02423002678606376,0.15565997168849724,False
F2,2026,2,z_P,35,0.010974229976244148,0.10475795901144766,False
F2,2026,2,z_P,36,0.02509988195066656,0.15842942261671775,False
F2,2026,2,z_P,37,0.020505350200506253,0.14319689312448874,False
F2,2026,2,z_P,38,0.011593042490625226,0.10767099187165141,False
F2,2026,2,z_P,39,0.009849480135782632,0.09924454713374752,False
F2,2026,2,z_P,40,0.015886791233668096,0.12604281508149562,False
F2,2026,2,z_P,41,0.018214957887334418,0.13496280186530812,False
F2,2026,2,z_P,42,0.021135515677193375,0.14538058906605578,False
F2,2026,2,z_P,43,0.015975346089634152,0.12639361569966323,False
